drone,image,scaling_factor
20181029_D1_0900_0930,00232.jpg,0.12556727811244323
20181029_D1_0900_0930,00233.jpg,0.12561288705655593
20181029_D1_0900_0930,00234.jpg,0.12558822783763937
20181029_D1_0900_0930,00235.jpg,0.1255958288159075
20181029_D1_0900_0930,00236.jpg,0.12557626979976963
20181029_D1_0900_0930,00237.jpg,0.12550148209697376
20181029_D1_0900_0930,00238.jpg,0.125493831178483
20181029_D1_0900_0930,00239.jpg,0.1254625077484201
20181029_D1_0900_0930,00240.jpg,0.12548634887165416
20181029_D1_0900_0930,00241.jpg,0.12547152578931303
20181029_D1_0900_0930,00242.jpg,0.12545135150368622
20181029_D1_0900_0930,00243.jpg,0.12547979055322972
20181029_D1_0900_0930,00244.jpg,0.12545899359149354
20181029_D1_0900_0930,00245.jpg,0.12548636328635351
20181029_D1_0900_0930,00246.jpg,0.12549889994937222
20181029_D1_0900_0930,00247.jpg,0.12550601779971507
20181029_D1_0900_0930,00248.jpg,0.12550639994861595
20181029_D1_0900_0930,00249.jpg,0.12552144214201835
20181029_D1_0900_0930,00250.jpg,0.1255885979515247
20181029_D1_0900_0930,00251.jpg,0.12561720565948745
20181029_D1_0900_0930,00252.jpg,0.12563199242356363
20181029_D1_0900_0930,00253.jpg,0.12564729531557298
20181029_D1_0900_0930,00254.jpg,0.12566929811174377
20181029_D1_0900_0930,00255.jpg,0.12563751604423584
20181029_D1_0900_0930,00256.jpg,0.12565680108413224
20181029_D1_0900_0930,00257.jpg,0.12566810989059898
20181029_D1_0900_0930,00258.jpg,0.12567710333107912
20181029_D1_0900_0930,00259.jpg,0.12570649129733893
20181029_D1_0900_0930,00260.jpg,0.12568354457584693
20181029_D1_0900_0930,00261.jpg,0.12571220516347406
20181029_D1_0900_0930,00262.jpg,0.12572793260464526
20181029_D1_0900_0930,00263.jpg,0.12572206434354793
20181029_D1_0900_0930,00264.jpg,0.12574006624435785
20181029_D1_0900_0930,00265.jpg,0.12576219701659425
20181029_D1_0900_0930,00266.jpg,0.12579217767532508
20181029_D1_0900_0930,00267.jpg,0.12580346958043606
20181029_D1_0900_0930,00268.jpg,0.12582245511703521
20181029_D1_0900_0930,00269.jpg,0.12585295007043654
20181029_D1_0900_0930,00270.jpg,0.12586295600087458
20181029_D1_0900_0930,00271.jpg,0.12588839255808482
20181029_D1_0900_0930,00272.jpg,0.12590136779641173
20181029_D1_0900_0930,00273.jpg,0.12593388243746614
20181029_D1_0900_0930,00274.jpg,0.1259500210053476
20181029_D1_0900_0930,00275.jpg,0.1259775393063171
20181029_D1_0900_0930,00276.jpg,0.12601113153611485
20181029_D1_0900_0930,00277.jpg,0.12603513314757553
20181029_D1_0900_0930,00278.jpg,0.12605049379301145
20181029_D1_0900_0930,00279.jpg,0.12608996318143056
20181029_D1_0900_0930,00280.jpg,0.12610441975265874
20181029_D1_0900_0930,00281.jpg,0.12611708812615563
20181029_D1_0900_0930,00282.jpg,0.12614315440324547
20181029_D1_0900_0930,00283.jpg,0.12617215179510544
20181029_D1_0900_0930,00284.jpg,0.1261905748598001
20181029_D1_0900_0930,00285.jpg,0.12621426614792222
20181029_D1_0900_0930,00286.jpg,0.12622509875810714
20181029_D1_0900_0930,00287.jpg,0.12624896650823464
20181029_D1_0900_0930,00288.jpg,0.12628210930240513
20181029_D1_0900_0930,00289.jpg,0.12626488735192365
20181029_D1_0900_0930,00290.jpg,0.12628309241139232
20181029_D1_0900_0930,00291.jpg,0.12630534675562288
20181029_D1_0900_0930,00292.jpg,0.12634808926192978
20181029_D1_0900_0930,00293.jpg,0.1263676920933741
20181029_D1_0900_0930,00294.jpg,0.126391700224568
20181029_D1_0900_0930,00295.jpg,0.12640578399266741
20181029_D1_0900_0930,00296.jpg,0.1264336285960655
20181029_D1_0900_0930,00297.jpg,0.12645275688259142
20181029_D1_0900_0930,00298.jpg,0.12641406839120728
20181029_D1_0900_0930,00299.jpg,0.12643021102686475
20181029_D1_0900_0930,00300.jpg,0.12645063234991108
20181029_D1_0900_0930,00301.jpg,0.12646355456817152
20181029_D1_0900_0930,00302.jpg,0.1264798937195426
20181029_D1_0900_0930,00303.jpg,0.12645391160643044
20181029_D1_0900_0930,00304.jpg,0.12647087736806378
20181029_D1_0900_0930,00305.jpg,0.1264458041390749
20181029_D1_0900_0930,00306.jpg,0.12653789414734415
20181029_D1_0900_0930,00307.jpg,0.126517808246871
20181029_D1_0900_0930,00308.jpg,0.12650778205295785
